iter	Passed	Remaining
0	78	78620
1	100	49980
2	123	40967
3	146	36382
4	169	33744
5	193	32000
6	214	30464
7	236	29327
8	259	28562
9	280	27764
10	303	27252
11	323	26632
12	344	26153
13	368	25917
14	390	25657
15	414	25461
16	436	25251
17	456	24920
18	477	24666
19	498	24410
20	520	24274
21	542	24106
22	562	23875
23	583	23717
24	603	23537
25	625	23442
26	645	23256
27	665	23090
28	684	22928
29	704	22777
30	725	22686
31	746	22593
32	765	22444
33	785	22306
34	806	22240
35	828	22177
36	849	22122
37	872	22078
38	891	21959
39	910	21860
40	931	21792
41	954	21771
42	975	21719
43	997	21672
44	1019	21625
45	1041	21606
46	1064	21590
47	1087	21571
48	1106	21479
49	1126	21403
50	1147	21351
51	1167	21283
52	1187	21226
53	1208	21174
54	1229	21120
55	1249	21063
56	1271	21033
57	1291	20974
58	1311	20910
59	1329	20836
60	1350	20789
61	1370	20740
62	1391	20695
63	1412	20656
64	1430	20579
65	1451	20543
66	1471	20486
67	1490	20429
68	1509	20371
69	1531	20344
70	1554	20336
71	1573	20279
72	1592	20222
73	1614	20200
74	1635	20174
75	1656	20135
76	1675	20084
77	1693	20018
78	1714	19983
79	1735	19952
80	1755	19912
81	1777	19901
82	1797	19858
83	1816	19810
84	1836	19774
85	1858	19752
86	1878	19718
87	1901	19701
88	1920	19658
89	1940	19619
90	1959	19569
91	1980	19548
92	2000	19508
93	2020	19471
94	2042	19459
95	2064	19438
96	2085	19418
97	2107	19395
98	2130	19393
99	2152	19371
100	2172	19334
101	2193	19314
102	2213	19279
103	2237	19279
104	2259	19256
105	2282	19248
106	2302	19212
107	2322	19184
108	2342	19150
109	2361	19104
110	2380	19066
111	2401	19037
112	2423	19025
113	2443	18988
114	2463	18958
115	2486	18948
116	2508	18930
117	2528	18901
118	2548	18869
119	2567	18830
120	2589	18814
121	2610	18788
122	2631	18760
123	2649	18720
124	2672	18704
125	2693	18682
126	2714	18662
127	2736	18639
128	2755	18605
129	2776	18583
130	2797	18557
131	2817	18527
132	2837	18496
133	2856	18463
134	2877	18438
135	2898	18414
136	2918	18384
137	2938	18354
138	2960	18340
139	2981	18314
140	3001	18284
141	3023	18267
142	3047	18262
143	3066	18230
144	3087	18206
145	3110	18196
146	3131	18168
147	3152	18146
148	3172	18118
149	3194	18100
150	3216	18082
151	3237	18059
152	3258	18041
153	3281	18026
154	3301	17998
155	3324	17985
156	3345	17963
157	3365	17935
158	3386	17909
159	3407	17890
160	3429	17871
161	3450	17848
162	3470	17819
163	3490	17793
164	3513	17778
165	3538	17777
166	3558	17749
167	3578	17720
